ano_mes,nivel1,aum,captacao_liquida
2026-07,Ações,3606926133102.85,3600605745.980001
2026-07,Multimercado,2716930440050.87,-19180453689.11
2026-07,Renda Fixa,7181581329511.19,31992056812.07
2026-08,Ações,3658150124045.93,1171744110.470001
2026-08,Multimercado,2750895411247.18,-14997987944.75
2026-08,Renda Fixa,7320684107490.6,102988615566.83
2026-09,Ações,3712058030524.48,-11199952810.35
2026-09,Multimercado,2770200566157.53,-3582720017.9399996
2026-09,Renda Fixa,7381201143512.99,48077973045.35
