ano_mes,nivel1,aum,captacao_liquida,aum_total_industria,percentual_do_aum_total
2026-07,Ações,3606926133102.85,3600605745.980001,13853400664432.91,0.2603639510956496
2026-07,Multimercado,2716930440050.87,-19180453689.11,13853400664432.91,0.1961201084024294
2026-07,Renda Fixa,7181581329511.19,31992056812.07,13853400664432.91,0.5183984426256518
2026-08,Ações,3658150124045.93,1171744110.470001,14075929664072.25,0.2598869283485469
2026-08,Multimercado,2750895411247.18,-14997987944.75,14075929664072.25,0.1954325914449994
2026-08,Renda Fixa,7320684107490.6,102988615566.83,14075929664072.25,0.520085300381693
2026-09,Ações,3698339667263.42,-10091315621.310001,14178985987801.23,0.2608324509556082
2026-09,Multimercado,2763381728822.47,-8422541846.43,14178985987801.23,0.19489276110434992
2026-09,Renda Fixa,7362774966921.93,38114493003.170006,14178985987801.23,0.5192737317926988
