ano_mes,nivel2_acoes,aum,captacao_liquida,aum_total_acoes,percentual_do_aum_acoes
2026-07,Ativo,3318533426924.68,2623550704.31,3606926133102.85,0.9200447429373664
2026-07,Internacional,235726097285.75,601748669.5800005,3606926133102.85,0.0653537357259288
2026-07,Índice,52666608892.42,375306372.09,3606926133102.85,0.0146015213367049
2026-08,Ativo,3361561606464.31,655495862.5400008,3658150124045.93,0.9189239075695472
2026-08,Internacional,243795727042.38,807229106.0600001,3658150124045.93,0.0666445385715173
2026-08,Índice,52792790539.24,-290980858.13,3658150124045.93,0.0144315538589353
2026-09,Ativo,3404181566637.32,-11020350057.74,3712058030524.48,0.9170604388844481
2026-09,Internacional,254259358370.74,939177821.27,3712058030524.48,0.06849552358286151
2026-09,Índice,53617105516.42,-1118780573.8799999,3712058030524.48,0.014444037532690293
