fund_id,denominacao_social,classe_anbima_raw,nivel1,nivel2_acoes
11859660000149,RT DEFIANT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA,Multimercados Livre,Multimercado,
11859669000150,MURIBECA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,Multimercado,
11859795000104,TOP 33 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11863133000108,ITAÚ FLEXPREV NVQ FIF CIC MULT CRED PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11863144000198,ITAU FLEXPREV BERUBA FIF MULT CRED PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11863217000141,ITAÚ FLEXPREV QUATTRO FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT CRÉD PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11863227000187,ITAÚ FLEXPREV CHALTEN FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT CRÉD PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11863291000168,ITAÚ FLEXPREV FUTURO 35 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Previdência Multimercado Livre,Multimercado,
11874869000181,MCG FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,Multimercado,
11882036000162,OTTO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Livre,Ações,Ativo
11886375000117,SONOSSO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11886391000100,CLASSE A DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Invest. no Exterior,Multimercado,
11886423000177,STS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Invest. no Exterior,Multimercado,
11887335000190,RIVER2 FUNDO DE INVESTIMENTO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11887365000104,STELLA23 CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Invest. no Exterior,Multimercado,
11898280000113,PLURAL DIVIDENDOS FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA,Ações Dividendos,Ações,Ativo
11902276000181,FUNDO DE INVESTIMENTO FINANCEIRO RECUPERAÇÃO BRASIL RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11904064000133,VENTOR DÓLAR HEDGE MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Macro,Multimercado,
11904071000135,WHISTLER FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Macro,Multimercado,
11904095000194,MAR DO ALTO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11904377000191,VILA VITÓRIA MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Livre,Multimercado,
11905366000126,CHEIRINHO MP FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA,Fechados de Ações,Ações,Ativo
11905638000198,GLPG GREY ROCK CONSOLIDADOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,Multimercado,
11907414000115,PORTUGAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES INVESTIMENTO NO EXTERIOR RESP LIMITADA,Ações Invest. no Exterior,Ações,Internacional
